keys,en,ar
report_radio,Report Radio,راديو الإبلاغ
environmental,Environmental,تغيير بيئي
creatures,Creatures,مخلوقات
back,Back,رجوع
part1,Sector 1,القطاع 1
part2,Sector 2,القطاع 2
part3,Sector 3,القطاع 3
part4,Sector 4,القطاع 4
shift,Shift,الوردية
win,You Win!,لقد فزت!
lose,You Lose!,لقد خسرت!
danger,Danger,الخطر
cam1,cam 01,كاميرا 01
cam2,cam 02,كاميرا 02
cam3,cam 03,كاميرا 03
cam4,cam 04,كاميرا 04
manager,Manager,المدير
accept,Accept, قبول
decline,Decline, رفض
chat1msg1,Welcome %s on your first day.,السلام عليكم يا %s في يومك الأول.
chat1msg2,This place is normal as the whole city. Some weird things happen ... but yeah this is the life.,المكان هنا طبيعي مثل المدينة كلها. بعض الأشياء الغريبة تحدث ... لكن هذه هي الحياة.
chat1msg3,Some anomalies like to play with things ... they change their position .. take some and bring others!,بعض المخلوقات تحب أن تعبث بالأشياء ... يغيرون أماكنها .. يأخذون بعضها ويجلبون أخرى!
chat1msg4,"Your shift starts at midnight and ends at 6 AM. Until that, you have to keep the place as it was.",تبدأ ورديتك في منتصف الليل وتنتهي في السادسة صباحًا. وحتى ذلك الوقت، عليك أن تحافظ على المكان كما كان عليه.
chat1msg5,The place has 4 sectors .. each one has a camera. You can watch them inside your room. The room is in the middle of the sectors.,المكان يتكون من 4 قطاعات .. كل واحد يحتوي على كاميرا. يمكنك المراقبة من غرفتك. تقع الغرفة بمنتصف القطاعات.
chat1msg6,"If you observed a change or a weird thing, report it at the radio, and specialists will deal with it.",إذا لاحظت تغيرًا أو شيئًا مريبًا، فقم بالإبلاغ في الراديو، وسيتعامل المختصون مع المشكلة.
chat1msg7,You have to report fast before anomalies effect spread in the place.,عليك أن تبلغ بسرعة قبل أن ينتشر الخطر في المكان.
chat1msg8,"And keep in mind, if you reported wrong many times, we won't need you with us.",وضع في اعتبارك، إذا أبلغت بلاغات خاطئة عدة مرات، فلا حاجة لنا إليك.
chat1msg9,Stay alive!,ابقَ حيًّا!
wrong_reports,Wrong Reports,البلاغات الخاطئة
calling,calling ...,يتصل ...
chat2msg1,Hello again %s! Good news that you're still alive haha.,أهلًا مجددًا يا %s! خبرٌ رائع أنك مازلت حيًّا ههههه.
chat2msg2,"That was an easy night anyways .. but don't worry, you'll get paid.",كانت ليلةً سهلة على أية حال .. لكن لا تقلق، ستؤجر على ذلك.
chat2msg3,Now go home and sleep well .. nights haven't finished yet.,الآن اذهب للمنزل ونم جيدًا .. فالليالي لم تنتهِ بعد.
sprint,Sprint,جري
jump,Jump,قفز
use,Interact,استخدام
anomalies_reported,Anomalies Reported,الظواهر المبلغ عنها
anomalies_left,Anomalies Left,الظواهر المتروكة
max_danger,Maximum Danger,أقصى خطر
press_e,Press 'E' to interact.,اضغط 'E' للاستخدام.
day1task1,Discover the area.,استكشف المنطقة.
day1task2,Open the computer.,افتح الحاسوب.
day1task3,Report to the radio! (Sec 1),بلغ في الراديو! (قطاع 1)
day1sub4,But you'll never see it changing!,ولكن لن تراها تتغير أبدًا!
day1sub1,Watch carefully.,راقب بدقة.
day1sub2,This is sector 1!,ذلك القطاع الأول.
wrong_report,Wrong report.,إبلاغً خاطئ.
right_report,Handled.,تم التعامل.
day1sub3,"Put your eyes on trees, bushes, graves and etc.",ضع عيونك على الأشجار، والشجيرات، والمقابر وإلخ.
report_sent,Report sent ...,تم إرسال البلاغ.
day2call1sen1,New night Nile Knight.,ليلةً جديدة يا فارس النيل
day2call1sen2,"The generator has broken down this morning, but the worker forgot to fix it.",لقد تعطل المحرك صباح اليوم، ولكن نسي العامل أن يصلحه.
day2call1sen3,"You have to fix it yourself, it supports room light and cameras energy ... unless you don't need them!",عليك أن تصلحه بنفسك، فهو يغذي الغرفة والكاميرات بالطاقة ... إلا ألا تكن في حاجتها!
day2sub1,The device is beside sector 4.,الجهاز بجانب القطاع 4.
camsabo,A camera has just been sabotaged.,تعرضت إحدى الكاميرات للتخريب للتو.
generatorsabo,The generator has just been sabotaged.,تعرض المولد للتخريب للتو.
antennasabo,The antenna has just been sabotaged.,تعرض هوائي الراديو للتخريب للتو.
day2call1sen4,The radio antenna on the roof was sparking .. it might go down too.,كان هوائي الراديو يعطي شرزًا .. يمكن أن يتعطل هو أيضًا.
day2call1sen5,Good luck.,وفقك الله.
day2call2sen1,,
day2call2sen2,,
day3call1sen1,You did well %s.,
day3call1sen2,And the guy you have seen is probably just a visitor .. so don't worry. ,
day3call1sen3,You can report to the radio if you see someone.,
d3c1s1,Hey!,
d3c1s2,I was just wondering what's this place.,
d3c1s3,Would you mind if I stay with you?,
